DY
540
28
attr1;attr2;attr3;attr4;attr5;attr6;attr7;attr8;attr9;attr10;attr11;attr12;attr13;attr14;attr15;attr16;attr17;attr18;attr19;attr20;attr21;attr22;attr23;attr24;attr25;attr26;attr27;attr28;
classe11_13.bmp;-0.561096;-0.301303;0.352972;-0.079646;-0.336326;-0.230734;-0.112061;-0.33241;-0.534632;-0.033878;-0.501622;-0.033878;-0.534632;-0.33241;-0.112061;-0.230734;-0.336326;-0.079646;0.352972;-0.301303;0.422429;0.39546;0.310294;0.487019;0.804584;1.032012;0.359396;0.261761;11.0
classe11_14.bmp;-0.703859;0.088234;0.424265;0.108938;-0.016032;0.086012;-0.323567;-0.347121;-0.07045;-0.272862;-1.275669;-0.272862;-0.07045;-0.347121;-0.323567;0.086012;-0.016032;0.108938;0.424265;0.088234;0.940548;0.592941;0.634035;0.57201;1.228415;1.24575;0.59906;0.774817;11.0
classe11_15.bmp;-0.414074;-0.071502;0.614084;0.280888;0.013577;-0.016387;0.047778;-0.065049;-0.263535;0.22227;-0.270222;0.22227;-0.263535;-0.065049;0.047778;-0.016387;0.013577;0.280888;0.614084;-0.071502;0.437752;0.243385;0.161318;0.19866;0.740114;1.030486;0.226029;0.296813;11.0
classe11_16.bmp;-0.499201;0.235686;0.65097;0.363616;0.253818;0.367963;-0.057864;-0.113892;0.157781;-0.106248;-1.039943;-0.106248;0.157781;-0.113892;-0.057864;0.367963;0.253818;0.363616;0.65097;0.235686;0.787973;0.573957;0.322457;0.348618;0.980853;1.108087;0.354668;0.607867;11.0
classe11_17.bmp;-0.402517;0.300114;0.786078;0.484333;0.401487;0.387653;0.06161;0.001628;0.294883;-0.040808;-0.929481;-0.040808;0.294883;0.001628;0.06161;0.387653;0.401487;0.484333;0.786078;0.300114;0.791639;0.273587;0.320132;0.402439;0.876546;1.079848;0.2424;0.53011;11.0
classe11_18.bmp;-0.312676;0.400714;0.924829;0.606756;0.493992;0.593145;0.165311;0.108455;0.426636;0.073976;-0.815756;0.073976;0.426636;0.108455;0.165311;0.593145;0.493992;0.606756;0.924829;0.400714;0.816393;0.052925;0.540783;0.391573;0.863362;0.938989;0.146005;0.490753;11.0
classe11_19.bmp;-0.408733;0.78553;0.812005;0.599925;0.745148;0.593459;0.175891;0.47431;0.382184;-0.943074;2.411677;-0.943074;0.382184;0.47431;0.175891;0.593459;0.745148;0.599925;0.812005;0.78553;1.219603;0.386249;0.704928;0.546452;1.006978;1.197559;0.330099;0.891109;11.0
classe11_20.bmp;-0.190732;0.571542;1.119535;0.721462;0.745129;0.742807;0.40401;0.230459;0.58847;0.27406;-0.661287;0.27406;0.58847;0.230459;0.40401;0.742807;0.745129;0.721462;1.119535;0.571542;0.79876;0.383854;0.07366;0.131177;0.762918;0.939018;0.004757;0.420648;11.0
classe11_21.bmp;-0.745115;0.099567;0.32614;-0.022199;0.118906;0.037652;-0.199889;-0.409551;-0.194735;-0.270198;-1.278847;-0.270198;-0.194735;-0.409551;-0.199889;0.037652;0.118906;-0.022199;0.32614;0.099567;1.104394;0.667972;-0.339092;-0.237826;0.259527;0.735734;0.707235;0.936211;11.0
classe11_22.bmp;-1.198108;-0.095108;-0.133164;-0.458758;-0.366668;-0.309641;-0.656466;-0.786886;-0.660902;-0.464834;-1.790057;-0.464834;-0.660902;-0.786886;-0.656466;-0.309641;-0.366668;-0.458758;-0.133164;-0.095108;1.134558;1.190262;0.233652;0.213525;0.754441;1.001904;1.19429;1.195382;11.0
classe11_23.bmp;-1.072766;-0.340711;0.136961;-0.57159;-0.473201;-0.598652;-0.548424;-0.472895;-0.818235;-0.344166;-0.51193;-0.344166;-0.818235;-0.472895;-0.548424;-0.598652;-0.473201;-0.57159;0.136961;-0.340711;0.996632;0.587766;0.251511;0.215042;0.465177;0.770551;0.984788;0.888615;11.0
classe11_24.bmp;-0.976271;0.465853;0.010363;0.154101;0.08283;-0.116986;-0.201279;-0.493534;0.002129;-1.590911;2.370653;-1.590911;0.002129;-0.493534;-0.201279;-0.116986;0.08283;0.154101;0.010363;0.465853;1.707502;1.140853;0.302812;0.282939;0.570778;0.990036;1.132908;1.546022;11.0
classe11_25.bmp;-0.227876;0.647938;0.928795;0.66352;0.889945;0.581999;0.50227;0.263574;0.374215;0.290791;-0.583815;0.290791;0.374215;0.263574;0.50227;0.581999;0.889945;0.66352;0.928795;0.647938;1.100038;0.238281;-0.262464;0.031189;0.666918;0.965568;0.285595;0.989923;11.0
classe11_26.bmp;-0.318805;0.558149;0.833395;0.540306;0.82446;0.473938;0.429686;0.159517;0.287369;0.206919;-0.701054;0.206919;0.287369;0.159517;0.429686;0.473938;0.82446;0.540306;0.833395;0.558149;1.158286;0.632841;-0.239359;0.166006;0.737111;0.953864;0.372995;1.015973;11.0
classe11_27.bmp;-0.395693;0.478947;0.794604;0.497554;0.698035;0.447528;0.331647;0.102666;0.260072;0.136503;-0.803126;0.136503;0.260072;0.102666;0.331647;0.447528;0.698035;0.497554;0.794604;0.478947;1.147942;0.741368;-0.193186;0.24132;0.766827;1.039016;0.42988;1.008955;11.0
classe11_28.bmp;-0.4571;0.391809;0.727461;0.383816;0.59365;0.374879;0.233446;-0.004859;0.193385;0.053294;-0.895276;0.053294;0.193385;-0.004859;0.233446;0.374879;0.59365;0.383816;0.727461;0.391809;1.21639;0.728256;-0.208103;0.393349;0.870749;1.069604;0.480802;0.996141;11.0
classe11_29.bmp;-0.724411;0.536439;0.296835;0.281561;0.356275;0.181577;-0.070009;-0.135639;0.093396;-1.294312;2.383102;-1.294312;0.093396;-0.135639;-0.070009;0.181577;0.356275;0.281561;0.296835;0.536439;1.641082;1.290901;0.266683;0.769801;1.378162;1.385939;0.899998;1.470803;11.0
classe11_30.bmp;-0.667802;0.178644;0.454846;0.124954;0.238905;0.097019;-0.098581;-0.273865;-0.067853;-0.17387;-1.17868;-0.17387;-0.067853;-0.273865;-0.098581;0.097019;0.238905;0.124954;0.454846;0.178644;1.114184;0.724676;0.019044;0.394152;0.949894;1.185795;0.653044;0.970332;11.0
classe11_31.bmp;-0.571775;-0.088672;0.498136;0.010213;0.012563;-0.082127;-0.07711;-0.02713;-0.409915;0.062071;-0.305107;0.062071;-0.409915;-0.02713;-0.07711;-0.082127;0.012563;0.010213;0.498136;-0.088672;0.751585;0.557022;-0.187917;0.027264;0.817468;0.994284;0.468796;0.608654;11.0
classe11_32.bmp;-0.875718;0.126292;0.215837;-0.10973;0.019503;-0.059781;-0.298031;-0.478736;-0.314189;-0.228213;-1.412754;-0.228213;-0.314189;-0.478736;-0.298031;-0.059781;0.019503;-0.10973;0.215837;0.126292;1.092645;0.799015;0.185185;0.495046;1.18143;1.331752;0.868993;1.087615;11.0
classe11_33.bmp;-0.801444;-0.168074;0.290845;-0.203383;-0.208299;-0.309185;-0.272634;-0.23848;-0.556299;-0.160148;-0.362369;-0.160148;-0.556299;-0.23848;-0.272634;-0.309185;-0.208299;-0.203383;0.290845;-0.168074;0.755832;0.427321;-0.046498;0.388819;1.051351;1.084547;0.686475;0.715187;11.0
classe11_34.bmp;-0.860373;-0.183198;0.238613;-0.294428;-0.263707;-0.358337;-0.340651;-0.26581;-0.624369;-0.216526;-0.386745;-0.216526;-0.624369;-0.26581;-0.340651;-0.358337;-0.263707;-0.294428;0.238613;-0.183198;0.785739;0.708791;0.108766;0.569758;1.161885;1.240294;0.759191;0.774914;11.0
classe11_35.bmp;-0.712002;-0.747195;0.225246;-0.326961;-0.659314;-0.611095;-0.596701;-0.526093;-0.417275;-0.694991;-0.683538;-0.694991;-0.417275;-0.526093;-0.596701;-0.611095;-0.659314;-0.326961;0.225246;-0.747195;0.447188;0.264763;-0.144552;0.163598;0.702905;0.907349;0.539815;0.2733;11.0
classe11_36.bmp;-0.826198;-0.4819;0.379551;-0.416637;-0.356281;-0.515276;-0.494681;-0.426685;-0.344438;-0.740657;-0.088773;-0.740657;-0.344438;-0.426685;-0.494681;-0.515276;-0.356281;-0.416637;0.379551;-0.4819;0.674854;0.298981;0.321082;0.380609;0.843358;1.05659;0.674823;0.54725;11.0
classe11_37.bmp;-0.753229;-0.413423;0.406931;-0.316758;-0.293306;-0.44555;-0.414563;-0.368653;-0.303095;-0.668662;-0.053937;-0.668662;-0.303095;-0.368653;-0.414563;-0.44555;-0.293306;-0.316758;0.406931;-0.413423;0.691795;0.223992;0.081652;0.285217;0.820361;0.984389;0.591124;0.491423;11.0
classe11_38.bmp;-0.66742;-0.349751;0.469586;-0.248532;-0.186064;-0.334484;-0.373121;-0.270439;-0.226342;-0.611534;0.005935;-0.611534;-0.226342;-0.270439;-0.373121;-0.334484;-0.186064;-0.248532;0.469586;-0.349751;0.70958;0.211214;-0.146446;-0.045149;0.681837;0.980871;0.498231;0.43295;11.0
classe11_39.bmp;-0.379837;-0.450943;0.450775;0.091689;-0.148494;-0.135939;-0.249223;-0.212225;-0.108679;-0.317546;-0.355721;-0.317546;-0.108679;-0.212225;-0.249223;-0.135939;-0.148494;0.091689;0.450775;-0.450943;0.39248;-0.040291;-0.429942;-0.231832;0.459738;0.786718;0.18164;0.055735;11.0
classe11_40.bmp;-0.848404;0.190539;0.298832;-0.002224;0.187357;-0.179846;-0.186684;-0.343314;-0.261357;-0.140767;-1.364318;-0.140767;-0.261357;-0.343314;-0.186684;-0.179846;0.187357;-0.002224;0.298832;0.190539;1.30398;0.915754;0.407668;0.524812;1.219619;1.30241;0.855778;1.131537;11.0
classe11_41.bmp;-0.910934;0.528152;0.129307;0.230951;0.176275;-0.034185;-0.128905;-0.355403;0.088805;-1.49252;2.374916;-1.49252;0.088805;-0.355403;-0.128905;-0.034185;0.176275;0.230951;0.129307;0.528152;1.687428;1.279616;0.737405;0.962157;1.399915;1.510031;1.110225;1.612383;11.0
classe11_42.bmp;-0.688705;0.305701;0.559986;0.219854;0.377604;0.132599;0.022918;-0.152284;0.003824;-0.011183;-1.162242;-0.011183;0.003824;-0.152284;0.022918;0.132599;0.377604;0.219854;0.559986;0.305701;1.208188;0.813009;0.179703;0.5203;1.083273;1.215927;0.694584;1.09061;11.0
classe11_43.bmp;-0.605264;0.399027;0.568843;0.278466;0.457911;0.139229;0.090095;-0.089459;0.00385;0.060819;-1.05323;0.060819;0.00385;-0.089459;0.090095;0.139229;0.457911;0.278466;0.568843;0.399027;1.142358;0.948449;0.173978;0.498914;1.017206;1.135968;0.626399;1.083927;11.0
classe11_44.bmp;-0.530194;0.531398;0.669758;0.326267;0.56354;0.251955;0.187217;-0.043181;0.080323;0.197569;-0.94833;0.197569;0.080323;-0.043181;0.187217;0.251955;0.56354;0.326267;0.669758;0.531398;1.206354;0.823889;0.111816;0.484628;0.983817;1.10483;0.554744;1.085086;11.0
classe11_45.bmp;-0.442238;0.639317;0.78062;0.460563;0.690518;0.401598;0.306202;0.085873;0.193555;0.315584;-0.834985;0.315584;0.193555;0.085873;0.306202;0.401598;0.690518;0.460563;0.78062;0.639317;1.263523;0.857901;0.183742;0.374716;0.874023;1.105139;0.474538;1.084867;11.0
classe12_01.bmp;0.487947;-0.886882;-2.75998;-2.43787;-1.233208;-0.608521;-0.788412;-1.210147;-0.975662;-0.892401;-0.663141;-0.892401;-0.975662;-1.210147;-0.788412;-0.608521;-1.233208;-2.43787;-2.75998;-0.886882;-0.360718;-0.182196;-0.544354;-0.948482;-1.382615;-0.908865;-0.292804;-0.93177;12.0
classe12_02.bmp;-0.389337;-1.201751;-1.975477;-1.453056;-0.453081;-0.432892;-1.008128;-1.526264;-1.129467;-0.844181;-0.527972;-0.844181;-1.129467;-1.526264;-1.008128;-0.432892;-0.453081;-1.453056;-1.975477;-1.201751;0.678077;0.186635;0.253021;0.398026;-0.093093;-0.914949;0.523864;0.139052;12.0
classe12_03.bmp;-0.402802;-1.285835;-1.988083;-1.462319;-0.531361;-0.726566;-1.378367;-1.636758;-1.058318;-0.802163;-0.587945;-0.802163;-1.058318;-1.636758;-1.378367;-0.726566;-0.531361;-1.462319;-1.988083;-1.285835;0.656781;0.091776;0.250189;0.375116;-0.241301;-0.96298;0.546924;0.126315;12.0
classe12_04.bmp;-0.241302;-1.336264;-2.498711;-1.791689;-0.900022;-0.601187;-0.987642;-1.590323;-1.359459;-1.284458;-0.716593;-1.284458;-1.359459;-1.590323;-0.987642;-0.601187;-0.900022;-1.791689;-2.498711;-1.336264;0.399096;-0.346589;0.028478;0.178035;-0.315252;-1.044034;0.362595;-0.232133;12.0
classe12_05.bmp;-0.049879;-1.251638;-2.54881;-1.771681;-0.900253;-0.360813;-0.815095;-1.411354;-1.338622;-1.167248;-0.650519;-1.167248;-1.338622;-1.411354;-0.815095;-0.360813;-0.900253;-1.771681;-2.54881;-1.251638;0.098754;-0.636844;-0.123324;-0.091416;-0.623545;-1.004588;0.143984;-0.503756;12.0
classe12_06.bmp;-0.657508;-1.88424;-2.318862;-1.100598;-0.268938;-1.031191;-1.908682;-1.863943;-1.002981;-0.89383;-0.97632;-0.89383;-1.002981;-1.863943;-1.908682;-1.031191;-0.268938;-1.100598;-2.318862;-1.88424;0.885978;-0.073966;0.590516;0.677795;-0.126211;-0.955396;0.856147;0.283948;12.0
classe12_07.bmp;-0.655447;-1.865264;-2.151113;-0.975363;-0.410846;-1.475422;-2.134501;-1.604257;-0.799591;-0.971236;-1.076154;-0.971236;-0.799591;-1.604257;-2.134501;-1.475422;-0.410846;-0.975363;-2.151113;-1.865264;0.584182;-0.198229;0.557908;0.712116;-0.265102;-0.974787;0.815189;0.211853;12.0
classe12_08.bmp;-0.549536;-1.811885;-2.682773;-1.6039;-0.5272;-0.857445;-1.791981;-2.089263;-1.245157;-0.974145;-0.888208;-0.974145;-1.245157;-2.089263;-1.791981;-0.857445;-0.5272;-1.6039;-2.682773;-1.811885;0.538281;-0.192276;0.523987;0.585229;-0.34521;-0.976482;0.70588;0.011058;12.0
classe12_09.bmp;-0.776412;-1.931621;-2.433603;-1.017121;-0.366923;-1.662231;-2.304;-1.664163;-0.830856;-1.107016;-1.314697;-1.107016;-0.830856;-1.664163;-2.304;-1.662231;-0.366923;-1.017121;-2.433603;-1.931621;0.587638;-0.433584;0.815161;0.655515;-0.356629;-0.981905;0.959287;0.310133;12.0
classe12_10.bmp;0.685325;-0.54443;-1.656168;-2.180087;-1.905635;-1.349109;-0.543148;-0.090258;0.036643;-0.246007;-0.465425;-0.246007;0.036643;-0.090258;-0.543148;-1.349109;-1.905635;-2.180087;-1.656168;-0.54443;-0.582367;-0.704504;-0.40654;-0.859497;-1.236599;-0.970259;-0.598018;-1.28867;12.0
classe12_11.bmp;-0.254057;-1.361291;-2.463697;-2.074048;-1.158718;-0.745858;-0.942772;-1.38861;-1.286523;-1.30529;-0.919906;-1.30529;-1.286523;-1.38861;-0.942772;-0.745858;-1.158718;-2.074048;-2.463697;-1.361291;0.503353;0.152716;0.791894;-0.132023;-0.886405;-0.971005;0.398667;-0.190004;12.0
classe12_12.bmp;-0.085758;-1.402189;-2.564;-2.013367;-1.00045;-0.627136;-0.971237;-1.368456;-1.216011;-1.229499;-0.801504;-1.229499;-1.216011;-1.368456;-0.971237;-0.627136;-1.00045;-2.013367;-2.564;-1.402189;0.248228;-0.235151;0.395519;-0.388543;-1.185999;-1.010092;0.227844;-0.413021;12.0
classe12_13.bmp;0.795369;-0.402698;-1.542633;-2.147955;-1.8497;-1.227966;-0.373383;0.11427;0.188584;-0.109541;-0.348324;-0.109541;0.188584;0.11427;-0.373383;-1.227966;-1.8497;-2.147955;-1.542633;-0.402698;-0.666439;-0.709145;-0.372953;-0.839173;-1.218;-0.924494;-0.707353;-1.38126;12.0
classe12_14.bmp;0.087511;-1.130631;-2.500735;-2.416358;-1.640186;-0.766163;-0.547727;-0.791846;-0.997482;-1.269315;-1.047131;-1.269315;-0.997482;-0.791846;-0.547727;-0.766163;-1.640186;-2.416358;-2.500735;-1.130631;0.137058;-0.13763;0.478939;-0.338281;-1.003271;-0.954859;0.045078;-0.601205;12.0
classe12_15.bmp;0.063261;-1.315948;-2.621876;-2.155659;-1.049598;-0.458845;-0.722352;-1.230334;-1.124596;-1.212414;-0.84561;-1.212414;-1.124596;-1.230334;-0.722352;-0.458845;-1.049598;-2.155659;-2.621876;-1.315948;0.110079;-0.315967;0.398383;-0.465869;-1.193131;-0.994351;0.082015;-0.574478;12.0
classe12_16.bmp;0.522082;-0.675961;-2.037862;-2.277643;-1.62946;-0.609376;-0.06121;-0.027138;-0.340892;-0.844754;-0.859415;-0.844754;-0.340892;-0.027138;-0.06121;-0.609376;-1.62946;-2.277643;-2.037862;-0.675961;-0.31919;-0.369094;-0.235946;-0.827262;-1.27711;-0.986472;-0.428852;-1.068457;12.0
classe12_17.bmp;-0.274668;-1.546669;-2.529063;-1.766915;-0.572781;-0.625987;-1.287555;-1.645311;-1.169393;-1.04257;-0.785831;-1.04257;-1.169393;-1.645311;-1.287555;-0.625987;-0.572781;-1.766915;-2.529063;-1.546669;0.679414;0.441264;0.843248;-0.23865;-1.028455;-0.955519;0.45006;-0.117632;12.0
classe12_18.bmp;0.098789;-1.391626;-2.794363;-2.212037;-0.945591;-0.551009;-1.039579;-1.511188;-1.22343;-1.129344;-0.769198;-1.129344;-1.22343;-1.511188;-1.039579;-0.551009;-0.945591;-2.212037;-2.794363;-1.391626;0.08223;-0.261079;0.218908;-0.78176;-1.385547;-1.074274;0.058769;-0.660075;12.0
classe12_19.bmp;0.218765;-0.810638;-2.140892;-2.190453;-1.41636;-0.795889;-0.667758;-0.940817;-1.010647;-1.10744;-0.722092;-1.10744;-1.010647;-0.940817;-0.667758;-0.795889;-1.41636;-2.190453;-2.140892;-0.810638;0.191372;0.020383;0.104042;-0.527922;-1.295159;-1.103627;-0.086354;-0.582814;12.0
classe12_20.bmp;-0.612241;-1.751384;-2.020533;-0.680024;-0.442541;-1.452342;-1.714199;-1.190938;-0.763705;-1.130061;-1.045186;-1.130061;-0.763705;-1.190938;-1.714199;-1.452342;-0.442541;-0.680024;-2.020533;-1.751384;1.710047;1.456961;1.774893;0.608872;-0.762213;-0.74186;1.045019;0.832466;12.0
classe12_21.bmp;-0.260236;-1.682772;-2.360029;-1.262797;-0.45342;-1.014548;-1.592213;-1.518384;-0.891584;-0.935263;-0.908628;-0.935263;-0.891584;-1.518384;-1.592213;-1.014548;-0.45342;-1.262797;-2.360029;-1.682772;0.767594;0.54929;1.083292;-0.162151;-1.102024;-0.955183;0.483061;-0.012209;12.0
classe12_22.bmp;0.552215;-0.658805;-2.544221;-2.478859;-1.340523;-0.32163;-0.256787;-0.757637;-0.868682;-0.963418;-0.664817;-0.963418;-0.868682;-0.757637;-0.256787;-0.32163;-1.340523;-2.478859;-2.544221;-0.658805;-0.207375;-0.179521;-0.494139;-0.943915;-1.297947;-0.794418;-0.37528;-0.935897;12.0
classe12_23.bmp;-0.621253;-0.845347;-0.4758;0.011104;-0.40471;-0.995692;-0.951001;-0.673056;-0.362072;-0.728301;-0.632656;-0.728301;-0.362072;-0.673056;-0.951001;-0.995692;-0.40471;0.011104;-0.4758;-0.845347;0.346713;-0.054182;0.49254;0.613686;0.170145;-0.304799;0.556523;0.308265;12.0
classe12_24.bmp;-0.717623;-1.036728;-0.632727;-0.173706;-0.930142;-1.189388;-1.211496;-0.610263;-0.499606;-0.906424;-0.797027;-0.906424;-0.499606;-0.610263;-1.211496;-1.189388;-0.930142;-0.173706;-0.632727;-1.036728;0.303497;-0.164975;0.185689;0.380986;1.88E-4;-0.303038;0.600941;0.161725;12.0
classe12_25.bmp;0.227843;-1.215631;-1.333317;-0.542239;-0.232732;-0.605004;-1.137761;-1.000579;-0.805653;-0.698483;-0.350344;-0.698483;-0.805653;-1.000579;-1.137761;-0.605004;-0.232732;-0.542239;-1.333317;-1.215631;-0.729196;-1.016537;-0.619413;-0.391033;-0.546604;-0.583233;-0.262452;-0.983757;12.0
classe12_26.bmp;-0.74065;-1.196675;-0.770035;-0.176887;-1.002604;-1.315438;-1.260663;-0.69361;-0.55294;-0.983017;-0.805328;-0.983017;-0.55294;-0.69361;-1.260663;-1.315438;-1.002604;-0.176887;-0.770035;-1.196675;0.186952;0.018874;0.211303;0.653309;0.217397;-0.190206;0.645289;0.156453;12.0
classe12_27.bmp;-0.484066;-1.432116;-1.003191;-0.311201;-0.780632;-1.483728;-1.4763;-1.027983;-0.483321;-0.822799;-0.925042;-0.822799;-0.483321;-1.027983;-1.4763;-1.483728;-0.780632;-0.311201;-1.003191;-1.432116;-0.185627;-0.408299;-0.22397;0.232852;-0.02208;-0.293353;0.386325;-0.257791;12.0
classe12_28.bmp;-0.269035;-1.522226;-1.196814;-0.314098;-0.592795;-1.478797;-1.338424;-1.169638;-0.587268;-0.708365;-0.830651;-0.708365;-0.587268;-1.169638;-1.338424;-1.478797;-0.592795;-0.314098;-1.196814;-1.522226;-0.365882;-0.677925;-0.496587;0.006779;-0.215072;-0.363668;0.190435;-0.530316;12.0
classe12_29.bmp;-1.464145;-0.973791;-0.49497;-1.172389;-1.404831;-1.210981;-0.961072;-1.326472;-0.943619;-1.037432;-1.023075;-1.037432;-0.943619;-1.326472;-0.961072;-1.210981;-1.404831;-1.172389;-0.49497;-0.973791;0.844475;0.54568;0.877493;1.390348;0.730351;0.133142;1.474306;1.019084;12.0
classe12_30.bmp;-1.232698;-1.129087;-0.464012;-0.862567;-1.539335;-1.351223;-0.922672;-1.085007;-1.043275;-1.033846;-0.901283;-1.033846;-1.043275;-1.085007;-0.922672;-1.351223;-1.539335;-0.862567;-0.464012;-1.129087;0.570599;0.52968;0.576685;0.986298;0.500711;-0.051051;1.132903;0.595274;12.0
classe12_31.bmp;-1.274704;-1.147187;-0.443756;-0.85957;-1.596281;-1.274509;-0.955435;-1.221424;-1.077197;-1.013028;-0.941189;-1.013028;-1.077197;-1.221424;-0.955435;-1.274509;-1.596281;-0.85957;-0.443756;-1.147187;0.745887;0.463152;0.68063;1.325312;0.553973;-0.041278;1.195319;0.665061;12.0
classe12_32.bmp;-1.46519;-1.014963;-0.470343;-1.127332;-1.61403;-1.126951;-1.098915;-1.380742;-0.99014;-1.097024;-1.011825;-1.097024;-0.99014;-1.380742;-1.098915;-1.126951;-1.61403;-1.127332;-0.470343;-1.014963;0.84802;0.530469;0.661414;1.409954;0.614983;-0.006974;1.415006;0.889872;12.0
classe12_33.bmp;-1.33853;-1.355073;-0.384592;-0.833756;-1.935539;-1.477931;-0.938474;-1.245985;-1.159641;-1.102864;-0.936764;-1.102864;-1.159641;-1.245985;-0.938474;-1.477931;-1.935539;-0.833756;-0.384592;-1.355073;0.554856;0.237452;0.474818;1.004873;0.334235;-0.130843;1.180578;0.486275;12.0
classe12_34.bmp;-1.935316;-0.632742;-0.49232;-1.839219;-1.296112;-1.175378;-1.582294;-1.404535;-0.953912;-1.343697;-1.054886;-1.343697;-0.953912;-1.404535;-1.582294;-1.175378;-1.296112;-1.839219;-0.49232;-0.632742;1.000995;0.276088;0.630244;1.142477;0.495095;-0.011333;1.821572;1.163945;12.0
classe12_35.bmp;-0.736579;-1.773949;-0.30805;0.246425;-1.03547;-1.848862;-1.010619;-0.589807;-0.798615;-1.160728;-0.850049;-1.160728;-0.798615;-0.589807;-1.010619;-1.848862;-1.03547;0.246425;-0.30805;-1.773949;0.004774;-0.255592;-0.259074;0.301139;-0.120014;-0.337393;0.583889;-0.104924;12.0
classe12_36.bmp;0.055864;-0.987692;-2.209394;-1.722607;-0.652237;-0.506524;-0.992265;-1.475323;-1.058742;-0.797909;-0.452153;-0.797909;-1.058742;-1.475323;-0.992265;-0.506524;-0.652237;-1.722607;-2.209394;-0.987692;0.069555;-0.068124;0.029431;0.075956;-0.586397;-1.1083;0.055618;-0.432043;12.0
