DY
70
16
gabor1;gabor2;gabor3;gabor4;gabor5;gabor6;gabor7;gabor8;gabor9;gabor10;gabor11;gabor12;gabor13;gabor14;gabor15;gabor16;
D47_04.bmp;7568350.080006;10013357.057961;7418566.522704;11178939.764857;8107836.021928;20064389.906420;12001398.323199;14764270.734309;8232742.178123;16950094.093617;11700522.407158;16642173.959365;4975025.368987;7006455.123572;6324603.470198;7274492.905410;3
D47_05.bmp;4793184.886032;8302874.904267;6429604.659535;7769749.307479;10472868.838262;16843267.031951;14767682.940048;15869064.204264;10053753.199367;18309666.106614;13438184.793286;20504137.706694;5420536.422235;7599575.208994;6388275.018764;8003776.853983;3
D47_06.bmp;3152273.468538;9402251.373767;6211059.663773;7145273.744200;9099904.845561;19604711.631461;13172682.187090;13104637.915802;9967781.815278;19390358.262534;13485322.372869;17963841.742293;5390694.697584;8032873.368296;6860528.619405;7365784.156410;3
D47_07.bmp;5424863.255628;9522388.124735;7070642.831254;8436080.432449;9197731.766576;20857484.527103;14151849.358004;13484398.842923;9705575.114752;18220868.319977;12909297.835480;17850765.426544;5807259.365415;7591068.922352;6619450.589474;7621443.176866;3
D47_08.bmp;6467699.791889;10142006.000906;8026989.242831;7735589.909295;9856227.719672;19483784.537809;12753548.478568;13263317.931986;9909309.490381;18980962.179850;12992762.208563;17562927.491015;5526673.784186;8269902.972565;6656461.143999;7824882.705293;3
D47_09.bmp;5201791.609168;10870439.340893;8070329.677103;9695695.826888;8389950.260063;18168182.127241;12851709.982822;16538772.914421;9551757.177979;18303327.619254;13446520.887376;19738150.485312;5489633.290177;7521178.078614;7062348.740887;7816925.296900;3
D47_10.bmp;5051222.896425;9365965.080065;6349667.568236;7124753.101695;9805024.930148;20875309.228195;14409957.030141;13003930.843211;10961545.482344;20168206.515571;14674762.740543;18463457.549691;5855996.416430;8699570.736318;7866259.812805;8184198.169469;3
D48_01.bmp;25767334.037668;24327225.537310;30182054.618838;20339199.672900;7395943.309620;7010173.773018;7698563.274606;6533767.504711;3350512.200657;2191566.121393;2537086.305435;2118167.746391;2675496.006785;2472911.365522;2470599.961399;2486266.106868;4
D48_02.bmp;26616592.762081;20177511.490977;24509350.201825;24576159.269909;8347611.958765;7280845.304583;14000033.486705;9041925.146731;3201992.072676;2256943.774823;4637585.885033;2461115.420482;2357222.764339;2193288.968109;2771103.952673;2220602.010619;4
D48_03.bmp;31555896.620497;20384300.710805;33106951.495839;22579663.688327;8638621.210286;7501294.063292;8692394.225902;8120058.260041;2514262.565846;1921979.174449;2202523.769619;1861068.349491;2123319.412091;2018215.479949;1916583.498794;1987658.677000;4
D48_04.bmp;26469788.286361;20788028.024138;24125589.161477;19558638.478100;7817616.113631;7907697.749900;14155977.031048;7781472.904352;2754703.803772;2308820.742717;4569212.692414;2266667.232695;2189024.843095;2099287.055463;2684099.162074;2077291.120764;4
D48_05.bmp;31054517.076525;23811149.111227;32158241.843920;21455083.816478;8100853.763267;7871259.390878;9006626.990207;7592709.995943;1908421.651083;1866919.897642;2416244.054691;1732313.653137;1977914.630625;2074699.906406;2104940.177646;1992674.259076;4
D48_06.bmp;32174046.125850;22424192.239708;31145235.404754;21465914.656708;9730978.226074;8354969.031787;9467980.330556;8584217.043040;2551183.070048;2026220.978930;2646115.107293;2052104.683412;2113992.330607;2040658.727987;2066651.680642;2033333.939461;4
D48_07.bmp;31836721.094081;20729282.268514;33467137.028878;21434476.662242;13655962.176948;11979471.527666;13474828.717225;11771246.184418;6487463.992661;4763753.034132;4724057.713266;4331953.094773;3393315.699028;2531412.564076;2629548.084254;2412323.925311;4
D48_08.bmp;29586242.249313;24062941.921363;30361051.361151;21261946.868494;8634778.072630;7516069.650411;8823501.116489;7463686.912166;3593604.624356;2145837.201496;2763223.412978;2150605.275214;2553566.263186;2201220.101153;2238744.304903;2205233.809071;4
D48_09.bmp;33244325.461798;22169260.142889;31010134.347902;21259412.541236;9844430.225778;8218297.001599;8832134.111970;8081609.653805;3166131.920825;2028687.252308;2451106.114113;2114031.928901;2240511.235295;1998833.282570;1982225.366096;1967265.447598;4
D48_10.bmp;24526129.871299;21752071.263427;29858395.018159;18074240.990746;12209011.505273;7715400.317358;8683578.451291;7319819.336485;4532589.952246;2466462.263645;3235521.517128;2517123.018336;3053290.395431;2543347.214515;2638632.070564;2490015.144075;4
D49_01.bmp;2253451.532245;2990067.917408;7893584.741785;1989553.116086;2913472.385841;2275873.900481;8209511.582299;2435923.400030;3493547.468117;3659284.128732;22117611.976584;3863692.754199;3668930.110864;7744244.971530;24888230.733140;8071699.657923;5
D49_02.bmp;3494880.732749;2471431.753969;5843015.725531;3477364.576597;3433571.369430;2458241.313234;8165546.815480;2586637.875991;4394407.782591;3738517.275022;20563230.262428;3730257.755190;3720491.358970;7004528.446635;20839726.403981;7102955.198455;5
D49_03.bmp;2625548.026377;2901724.879151;5435299.852481;2608244.991147;3469171.255435;2534721.011948;8448040.440406;2155883.053630;3626076.555183;3808960.264425;22866856.703822;3925411.186158;3857256.219971;8415288.215086;25781620.360125;8693538.733751;5
D49_04.bmp;2329939.829093;2029600.285421;3892191.333380;1938023.797434;2958980.166163;2237743.183454;8009494.638243;2302849.641057;3825422.438726;3345374.883670;18491187.552188;3369129.228693;3502919.699926;6200790.607141;17800128.741827;6351410.243048;5
D49_05.bmp;4187700.847517;2217640.472796;4641468.799876;2527358.293606;3240615.818385;1969586.526463;6428792.551862;1937898.472869;3545789.491252;3468454.163078;18793957.491314;3400218.447469;3536823.312651;6678441.999682;20087138.189345;6845730.651455;5
D49_06.bmp;3505133.413145;3040838.929326;8144230.322536;2992470.258843;2841446.905787;2539035.522474;9925213.875412;2578783.569196;3239930.756584;3111832.107797;19296924.278924;3251913.042484;3718418.831714;7306098.717371;22151398.898020;7589056.949554;5
D49_07.bmp;3781362.863651;3014627.841742;9668674.827319;2949351.696038;2712677.298448;2507935.417022;8394943.396568;2323872.969143;3876512.563143;3330489.396893;19939571.348329;3316024.073748;3906803.733400;7749659.808085;22393410.484064;7994712.339337;5
D49_08.bmp;3713174.359111;2744347.538036;7487084.970928;2873292.308649;3619054.609957;2575769.786358;10213871.687787;2607699.461474;4051101.243726;3411612.206898;18566746.084323;3425115.979689;3750329.261671;7699315.709357;24077519.464294;8155161.824817;5
D49_09.bmp;4138831.498269;2795815.618767;6630995.272889;2499641.110296;3019814.579014;2136338.340848;9156803.546502;2071850.207848;4173215.184517;3480116.278768;19968612.598785;3430456.403760;4365456.343089;7683411.555766;19949214.355045;7820148.634738;5
D49_10.bmp;1660594.596528;2862291.774661;10164652.598764;2471168.015620;2780367.681582;2343746.326723;8825220.757621;2523002.040150;3425762.469197;3732976.270914;20857745.736294;3723611.447590;3854093.415545;7920857.410487;24560227.891769;8104042.896643;5
D87_01.bmp;10273592.022283;7752809.535966;8576945.397969;8778248.647319;22865170.579507;17003154.498315;17997162.205412;17112887.656880;39198374.273735;33484825.634813;35105101.749794;37576736.102095;22089885.604839;19519909.679469;18189550.341251;18746423.019401;6
D87_02.bmp;11910602.044936;7034500.284861;3940867.095124;14847106.663792;23797758.405702;15809126.742040;14477331.001516;24389579.576823;34750648.233755;33428377.596947;38633900.187497;40473086.858181;21798193.451891;19727911.735575;19275611.832222;20898268.620793;6
D87_03.bmp;10666345.552141;6835647.104356;4679137.443813;5995207.389731;26281003.115944;16356484.853395;17535987.600662;18114002.262397;39020610.860051;35954396.502945;33888056.104867;37695928.672031;21287203.745293;20396188.296231;17997127.434573;18161007.436401;6
D87_04.bmp;15982428.267855;8353361.394784;4566647.264277;5922172.938766;31548083.818329;17890150.556298;13210515.775327;14024648.151102;37114070.903497;33525118.957827;35012827.397557;37356670.720857;19980654.558716;19243004.813425;18073056.280662;18504431.623794;6
D87_05.bmp;6905848.451709;6723249.162796;4110272.037396;7219657.718584;22048834.376695;17529622.986377;17664296.045425;16851686.750611;38333277.530718;35676125.831139;37328386.938818;38015492.567110;22783600.275558;22178413.744504;20239110.036445;19632900.371506;6
D87_06.bmp;7626997.899482;7766624.414518;6697835.915539;6860409.585671;21068934.949566;15559874.087100;15339225.890204;15585102.390661;36459696.702004;35276751.382094;37361057.846828;37449243.212163;22376561.282762;22262978.034251;20874847.208972;20204516.984713;6
D87_07.bmp;7150926.236925;6249415.864222;6942477.343530;6074379.570814;21206413.902103;12424524.139493;14170220.033249;14886180.896511;33529192.462560;34108198.311507;35274232.765565;36261455.545846;21407842.056654;21367801.782455;19258606.660462;19128395.265317;6
D87_08.bmp;18038089.443430;8104794.964244;7419337.722494;8180563.641872;25247355.725214;16923011.254852;14729853.363917;19458503.457838;36621552.213836;33915941.754294;35739702.271875;39151290.663084;22770863.090749;20596511.623214;19403550.967879;20212218.119731;6
D87_09.bmp;7813080.632207;9719703.036860;6489412.626108;6721988.875880;21279781.037345;16892601.628740;16899664.554733;16994925.907389;37678663.717298;32769057.322445;36387626.802284;38048669.632766;20730245.934332;19421259.616315;19395498.597825;19165076.525121;6
D87_10.bmp;15303688.941747;9499852.251411;6877540.052156;8589845.817436;22672815.197952;19374325.781339;17323373.269927;16642016.198204;40015266.858222;34407024.344935;36306074.049609;37545099.865415;22498689.161877;20798852.222565;19172801.065998;18789314.062313;6
